2021-11-17 21:58:07 configure xkb-data:all 2.26-2 <none>
2021-11-17 21:58:07 status unpacked xkb-data:all 2.26-2
2021-11-17 21:58:07 status half-configured xkb-data:all 2.26-2
2021-11-17 21:58:07 status installed xkb-data:all 2.26-2
2021-11-17 21:58:07 configure zlib1g:arm64 1:1.2.11.dfsg-1 <none>
2021-11-17 21:58:07 status unpacked zlib1g:arm64 1:1.2.11.dfsg-1
2021-11-17 21:58:07 status half-configured zlib1g:arm64 1:1.2.11.dfsg-1
2021-11-17 21:58:07 status installed zlib1g:arm64 1:1.2.11.dfsg-1
2021-11-17 21:58:07 configure libnpth0:arm64 1.6-1 <none>
2021-11-17 21:58:07 status unpacked libnpth0:arm64 1.6-1
2021-11-17 21:58:07 status half-configured libnpth0:arm64 1.6-1
2021-11-17 21:58:07 status installed libnpth0:arm64 1.6-1
2021-11-17 21:58:07 configure hdparm:arm64 9.58+ds-1 <none>
2021-11-17 21:58:07 status unpacked hdparm:arm64 9.58+ds-1
2021-11-17 21:58:07 status half-configured hdparm:arm64 9.58+ds-1
2021-11-17 21:58:07 status installed hdparm:arm64 9.58+ds-1
2021-11-17 21:58:07 configure libffi6:arm64 3.2.1-9 <none>
2021-11-17 21:58:07 status unpacked libffi6:arm64 3.2.1-9
2021-11-17 21:58:07 status half-configured libffi6:arm64 3.2.1-9
2021-11-17 21:58:07 status installed libffi6:arm64 3.2.1-9
2021-11-17 21:58:07 configure krb5-locales:all 1.17-3+deb10u1 <none>
2021-11-17 21:58:07 status unpacked krb5-locales:all 1.17-3+deb10u1
2021-11-17 21:58:07 status half-configured krb5-locales:all 1.17-3+deb10u1
2021-11-17 21:58:07 status installed krb5-locales:all 1.17-3+deb10u1
2021-11-17 21:58:07 configure libidn2-0:arm64 2.0.5-1+deb10u1 <none>
2021-11-17 21:58:07 status unpacked libidn2-0:arm64 2.0.5-1+deb10u1
2021-11-17 21:58:07 status half-configured libidn2-0:arm64 2.0.5-1+deb10u1
2021-11-17 21:58:07 status installed libidn2-0:arm64 2.0.5-1+deb10u1
2021-11-17 21:58:07 configure libcom-err2:arm64 1.44.5-1+deb10u3 <none>
2021-11-17 21:58:07 status unpacked libcom-err2:arm64 1.44.5-1+deb10u3
2021-11-17 21:58:07 status half-configured libcom-err2:arm64 1.44.5-1+deb10u3
2021-11-17 21:58:07 status installed libcom-err2:arm64 1.44.5-1+deb10u3
2021-11-17 21:58:07 configure libassuan0:arm64 2.5.2-1 <none>
2021-11-17 21:58:07 status unpacked libassuan0:arm64 2.5.2-1
2021-11-17 21:58:07 status half-configured libassuan0:arm64 2.5.2-1
2021-11-17 21:58:07 status installed libassuan0:arm64 2.5.2-1
2021-11-17 21:58:07 configure libmpeg2-4:arm64 0.5.1-8 <none>
2021-11-17 21:58:07 status unpacked libmpeg2-4:arm64 0.5.1-8
2021-11-17 21:58:07 status half-configured libmpeg2-4:arm64 0.5.1-8
2021-11-17 21:58:07 status installed libmpeg2-4:arm64 0.5.1-8
2021-11-17 21:58:07 configure libgomp1:arm64 8.3.0-6 <none>
2021-11-17 21:58:07 status unpacked libgomp1:arm64 8.3.0-6
2021-11-17 21:58:07 status half-configured libgomp1:arm64 8.3.0-6
2021-11-17 21:58:07 status installed libgomp1:arm64 8.3.0-6
2021-11-17 21:58:07 configure diffutils:arm64 1:3.7-3 <none>
2021-11-17 21:58:07 status unpacked diffutils:arm64 1:3.7-3
2021-11-17 21:58:07 status half-configured diffutils:arm64 1:3.7-3
2021-11-17 21:58:07 status installed diffutils:arm64 1:3.7-3
2021-11-17 21:58:07 configure libxvidcore4:arm64 2:1.3.5-1 <none>
2021-11-17 21:58:07 status unpacked libxvidcore4:arm64 2:1.3.5-1
